instrument_id,customer_behavior_score,number_of_uses,surgery_type,surgery_complexity,surgeon_experience_level,time_since_last_maintenance_days,previous_repair_count,sterilization_frequency,failure_count_last_12_months
INS-0050,0.51,87,General,Medium,Resident,153,3,17,5
INS-0051,0.98,157,Neuro,Medium,Intermediate,118,0,26,2
INS-0052,0.87,168,Orthopedic,Medium,Resident,120,1,13,6
INS-0053,0.96,287,Neuro,Low,Intermediate,169,2,17,6
INS-0054,0.94,83,General,Medium,Resident,175,0,11,0
INS-0055,0.76,218,Orthopedic,High,Resident,26,1,32,1
INS-0056,0.95,59,Cardiac,Medium,Expert,95,1,17,4
INS-0057,0.45,171,Orthopedic,Low,Expert,48,1,34,2
INS-0058,0.52,194,Orthopedic,High,Resident,50,4,16,2
INS-0059,0.43,194,Orthopedic,Low,Intermediate,57,3,18,3
INS-0060,0.6,244,General,High,Resident,165,0,27,1
INS-0061,0.63,239,Orthopedic,Medium,Expert,86,4,26,1
INS-0062,0.56,272,Neuro,Low,Resident,10,0,10,5
INS-0063,0.9,164,Orthopedic,High,Expert,126,4,21,2
INS-0064,0.61,50,Orthopedic,Medium,Resident,28,3,13,4
INS-0065,0.57,61,Neuro,High,Resident,68,1,26,1
INS-0066,0.73,152,Neuro,Low,Intermediate,116,0,16,6
INS-0067,0.48,53,Cardiac,Low,Expert,178,1,33,2
INS-0068,0.88,219,Orthopedic,Low,Expert,147,3,12,0
INS-0069,0.44,190,General,Low,Expert,37,0,10,2
INS-0070,0.99,147,Orthopedic,Medium,Intermediate,43,2,28,3
INS-0071,0.86,155,Orthopedic,High,Resident,48,2,11,2
INS-0072,0.52,134,Neuro,Medium,Intermediate,135,2,15,4
INS-0073,0.4,263,Cardiac,Low,Resident,92,3,20,5
INS-0074,0.89,170,Orthopedic,High,Intermediate,115,2,32,3
INS-0075,0.82,181,General,Low,Intermediate,119,0,34,1
INS-0076,0.84,131,Orthopedic,Medium,Expert,130,2,30,3
INS-0077,0.86,246,General,Medium,Intermediate,116,0,13,3
INS-0078,0.44,68,Neuro,Medium,Resident,140,3,10,0
INS-0079,0.62,179,Cardiac,High,Intermediate,32,1,20,1
INS-0080,0.47,61,Orthopedic,High,Intermediate,154,4,25,1
INS-0081,0.92,130,Cardiac,Low,Resident,80,2,15,7
INS-0082,0.77,123,Orthopedic,High,Expert,163,4,20,2
INS-0083,0.6,147,General,High,Resident,116,1,17,2
INS-0084,0.44,55,Cardiac,Medium,Resident,155,3,29,1
INS-0085,0.59,185,Orthopedic,Low,Resident,55,3,10,3
INS-0086,0.6,174,Neuro,Medium,Intermediate,79,1,23,10
INS-0087,0.84,100,General,Low,Intermediate,40,4,30,1
INS-0088,0.78,60,Cardiac,Low,Resident,102,2,30,0
INS-0089,0.93,240,Orthopedic,High,Resident,146,0,11,2
INS-0090,0.68,234,Cardiac,Medium,Expert,127,3,15,3
INS-0091,0.47,176,Orthopedic,High,Intermediate,172,1,18,0
INS-0092,0.83,189,General,High,Intermediate,90,4,23,2
INS-0093,0.86,122,Neuro,High,Intermediate,69,2,31,1
INS-0094,0.74,51,General,Low,Intermediate,85,4,17,4
INS-0095,0.86,57,Cardiac,Medium,Resident,72,2,12,0
INS-0096,0.7,299,Cardiac,Medium,Resident,109,0,19,6
INS-0097,0.71,188,Orthopedic,High,Expert,57,0,27,2
INS-0098,0.66,173,General,Low,Intermediate,161,1,29,1
INS-0099,0.42,102,Orthopedic,Medium,Intermediate,83,1,18,3
INS-0100,0.46,277,General,Medium,Resident,67,2,18,2
INS-0101,0.42,59,Cardiac,High,Expert,39,2,28,1
INS-0102,0.78,262,Orthopedic,Low,Resident,166,2,22,5
INS-0103,0.59,261,Orthopedic,High,Intermediate,19,2,10,2
INS-0104,0.71,161,General,Medium,Intermediate,48,0,26,1
INS-0105,0.94,57,Neuro,Low,Expert,64,1,13,2
INS-0106,0.55,85,General,High,Resident,37,1,13,1
INS-0107,0.65,270,Neuro,Medium,Intermediate,155,3,25,3
INS-0108,0.85,155,General,High,Intermediate,178,1,25,4
INS-0109,0.54,253,Cardiac,High,Expert,127,1,24,2
INS-0110,0.45,63,Orthopedic,High,Intermediate,123,4,15,5
INS-0111,0.57,289,General,Low,Intermediate,84,4,14,5
INS-0112,0.5,231,Cardiac,Medium,Resident,74,3,31,3
INS-0113,0.96,291,General,Medium,Expert,90,2,19,0
INS-0114,0.88,262,Orthopedic,Medium,Expert,109,3,16,1
INS-0115,0.78,135,General,Medium,Expert,109,3,16,2
INS-0116,0.92,198,Neuro,Low,Resident,55,0,19,1
INS-0117,0.88,285,Orthopedic,High,Expert,69,1,19,5
INS-0118,0.51,99,Neuro,Medium,Intermediate,146,0,34,2
INS-0119,0.94,271,Cardiac,Low,Expert,165,1,24,2
INS-0120,0.72,216,Cardiac,High,Intermediate,106,3,15,2
INS-0121,0.88,69,General,Low,Expert,12,1,33,2
INS-0122,0.94,265,Neuro,Low,Expert,145,2,11,4
INS-0123,0.59,136,Neuro,Medium,Resident,123,2,17,2
INS-0124,0.47,184,Orthopedic,Medium,Expert,125,3,34,1
INS-0125,0.54,186,Neuro,High,Expert,67,4,29,2
INS-0126,0.66,178,Neuro,High,Resident,79,2,24,4
INS-0127,0.89,203,Orthopedic,Medium,Intermediate,102,3,30,0
INS-0128,0.92,215,Orthopedic,Low,Expert,149,0,30,2
INS-0129,0.4,87,Neuro,Medium,Expert,146,4,27,6
INS-0130,0.71,295,General,High,Intermediate,114,2,14,0
INS-0131,0.65,238,Orthopedic,Low,Resident,58,3,34,3
INS-0132,0.53,93,Orthopedic,Low,Expert,92,3,13,3
INS-0133,0.47,135,Neuro,Low,Resident,26,0,19,4
INS-0134,0.6,93,Neuro,Medium,Intermediate,63,0,28,1
INS-0135,0.97,123,Orthopedic,Medium,Intermediate,121,4,23,5
INS-0136,0.59,168,Neuro,High,Resident,169,2,32,0
INS-0137,0.71,239,Orthopedic,Low,Intermediate,172,3,33,5
INS-0138,0.82,171,General,Low,Intermediate,58,4,22,1
INS-0139,0.62,183,General,Medium,Expert,153,4,19,1
INS-0140,0.98,194,Orthopedic,High,Resident,94,0,31,1
INS-0141,0.98,100,Orthopedic,High,Expert,21,3,15,1
INS-0142,0.55,291,Cardiac,Low,Resident,135,1,22,4
INS-0143,0.7,87,Cardiac,Medium,Expert,107,0,30,5
INS-0144,0.58,201,Neuro,Low,Intermediate,145,3,20,3
INS-0145,0.57,100,Neuro,Medium,Resident,158,4,31,2
INS-0146,0.42,59,Orthopedic,High,Resident,57,4,34,2
INS-0147,0.77,169,Orthopedic,Low,Resident,145,2,24,4
INS-0148,0.7,249,Cardiac,Low,Resident,37,1,11,6
INS-0149,0.43,198,Cardiac,Low,Intermediate,89,0,24,2
INS-0150,0.57,297,Orthopedic,High,Intermediate,19,2,28,5
INS-0151,0.94,119,General,Low,Intermediate,61,2,26,3
INS-0152,0.54,134,General,High,Expert,152,1,29,4
INS-0153,0.49,106,Neuro,Medium,Intermediate,141,0,27,4
INS-0154,0.69,175,Orthopedic,High,Expert,99,0,15,2
INS-0155,0.99,88,Orthopedic,Medium,Expert,71,4,24,5
INS-0156,0.55,265,Neuro,High,Intermediate,116,0,26,0
INS-0157,0.8,82,Cardiac,High,Intermediate,141,2,33,2
INS-0158,0.86,236,Cardiac,Low,Intermediate,50,4,31,3
INS-0159,0.54,67,General,High,Expert,108,0,18,3
INS-0160,0.84,233,Orthopedic,Low,Resident,64,1,21,1
INS-0161,0.62,269,Cardiac,Medium,Intermediate,37,2,31,3
INS-0162,0.78,106,General,Medium,Expert,110,3,32,1
INS-0163,0.78,293,General,Low,Expert,56,1,14,4
INS-0164,0.72,145,General,Medium,Intermediate,146,1,23,4
INS-0165,0.45,253,Cardiac,High,Expert,139,0,33,2
INS-0166,0.9,97,Cardiac,Low,Intermediate,126,4,17,5
INS-0167,0.59,91,Orthopedic,Low,Expert,117,4,34,5
INS-0168,0.51,76,Orthopedic,Low,Resident,78,2,31,3
INS-0169,0.42,123,General,Medium,Expert,37,0,26,2
INS-0170,0.75,159,General,Medium,Intermediate,88,4,18,5
INS-0171,0.81,298,Cardiac,High,Resident,23,3,12,6
INS-0172,0.41,229,Cardiac,High,Intermediate,55,0,34,1
INS-0173,0.71,219,Orthopedic,Low,Expert,150,0,16,4
INS-0174,0.54,81,Orthopedic,High,Resident,25,4,21,2
INS-0175,0.79,283,Neuro,Medium,Resident,177,1,12,4
INS-0176,0.5,75,Orthopedic,High,Expert,167,0,18,3
INS-0177,0.81,74,Cardiac,Medium,Resident,90,1,23,2
INS-0178,0.63,124,General,High,Resident,67,2,32,4
INS-0179,0.96,72,Neuro,Medium,Resident,57,2,32,3
INS-0180,0.48,275,Orthopedic,Medium,Intermediate,58,4,32,2
INS-0181,0.6,106,Orthopedic,High,Intermediate,98,2,27,5
INS-0182,0.47,229,Cardiac,High,Resident,139,4,20,5
INS-0183,0.95,281,Neuro,Medium,Expert,23,4,13,5
INS-0184,0.93,175,Orthopedic,Low,Expert,112,1,17,5
INS-0185,0.55,136,General,High,Intermediate,130,1,27,2
INS-0186,0.8,270,Cardiac,Medium,Expert,154,2,22,2
INS-0187,0.89,80,Neuro,High,Resident,132,1,13,2
INS-0188,0.73,113,Orthopedic,High,Expert,168,0,19,3
INS-0189,0.72,248,Orthopedic,High,Intermediate,147,3,17,2
INS-0190,0.55,281,Neuro,High,Intermediate,79,0,21,4
INS-0191,0.46,82,Cardiac,High,Resident,112,0,28,3
INS-0192,0.94,262,Neuro,Low,Intermediate,111,4,21,2
INS-0193,0.94,51,Neuro,Low,Intermediate,174,3,31,2
INS-0194,0.78,67,Cardiac,Low,Intermediate,73,4,11,2
INS-0195,0.6,224,Orthopedic,Medium,Expert,167,1,33,2
INS-0196,0.61,210,General,Low,Intermediate,171,1,17,4
INS-0197,0.84,278,Cardiac,Low,Expert,27,3,22,4
INS-0198,0.94,275,General,Medium,Intermediate,72,2,10,2
INS-0199,0.93,133,Orthopedic,Low,Intermediate,58,1,12,3
INS-0200,0.87,84,Neuro,High,Expert,65,0,11,1
INS-0201,0.79,228,General,Low,Expert,100,3,32,0
INS-0202,0.45,163,Orthopedic,Low,Resident,67,3,32,1
INS-0203,0.5,295,Orthopedic,Low,Resident,164,1,29,3
INS-0204,0.94,195,Neuro,High,Expert,64,1,17,4
INS-0205,0.76,159,Neuro,High,Intermediate,94,4,12,5
INS-0206,0.41,137,Orthopedic,High,Resident,28,4,34,2
INS-0207,0.46,121,Orthopedic,High,Expert,160,0,30,2
INS-0208,0.8,174,General,Medium,Expert,112,3,24,3
INS-0209,0.4,79,Orthopedic,High,Intermediate,121,2,11,2
INS-0210,0.5,221,Orthopedic,High,Expert,117,2,34,4
INS-0211,0.73,102,General,High,Resident,56,3,26,2
INS-0212,0.82,187,Cardiac,High,Intermediate,116,0,33,1
INS-0213,0.79,136,General,Medium,Expert,93,4,15,7
INS-0214,0.53,229,General,Low,Expert,165,4,10,4
INS-0215,0.83,226,Neuro,Low,Intermediate,137,4,13,4
INS-0216,0.54,188,General,High,Intermediate,67,2,28,2
INS-0217,0.6,243,Orthopedic,High,Intermediate,152,2,16,1
INS-0218,0.85,235,Orthopedic,High,Resident,153,0,32,4
INS-0219,0.79,267,Orthopedic,Low,Resident,106,2,31,1
INS-0220,0.91,213,Cardiac,Low,Expert,56,1,23,3
INS-0221,0.79,210,Orthopedic,High,Expert,149,2,23,2
INS-0222,0.74,224,Cardiac,Low,Intermediate,112,4,19,5
INS-0223,0.46,62,Orthopedic,Medium,Expert,93,0,33,5
INS-0224,0.62,89,General,High,Expert,166,3,16,8
INS-0225,0.56,138,Neuro,High,Intermediate,58,3,25,1
INS-0226,0.55,117,Orthopedic,Medium,Resident,140,0,13,5
INS-0227,0.98,91,Cardiac,Medium,Resident,121,1,16,2
INS-0228,0.64,196,Cardiac,Low,Resident,69,3,24,2
INS-0229,0.94,259,Neuro,Medium,Expert,75,4,26,3
INS-0230,0.78,278,Orthopedic,High,Intermediate,96,3,12,4
INS-0231,0.88,143,General,Low,Resident,135,3,25,1
INS-0232,0.7,68,Orthopedic,Medium,Expert,35,4,11,2
INS-0233,0.75,235,Orthopedic,Low,Intermediate,80,2,16,7
INS-0234,0.7,72,Neuro,Low,Resident,83,1,34,0
INS-0235,0.52,103,Orthopedic,Low,Resident,56,4,25,1
INS-0236,0.83,257,General,Low,Intermediate,85,4,30,4
INS-0237,0.57,114,Cardiac,Medium,Expert,105,0,18,4
INS-0238,0.41,189,Neuro,High,Expert,179,1,21,2
INS-0239,0.79,73,General,High,Resident,40,2,33,1
INS-0240,0.51,83,Cardiac,Medium,Intermediate,31,4,10,2
INS-0241,0.96,102,Neuro,High,Expert,26,2,23,1
INS-0242,0.97,298,Neuro,Low,Intermediate,157,4,20,1
INS-0243,0.95,185,Cardiac,Low,Intermediate,145,4,27,1
INS-0244,0.62,67,Cardiac,Low,Resident,107,0,31,1
INS-0245,0.41,106,General,Medium,Intermediate,58,3,14,3
INS-0246,0.96,161,Orthopedic,Low,Intermediate,96,1,24,2
INS-0247,0.66,54,Orthopedic,Low,Intermediate,47,0,16,3
INS-0248,0.98,203,Orthopedic,Medium,Expert,62,2,34,1
INS-0249,0.98,207,Orthopedic,Low,Resident,37,4,23,3
INS-0250,0.91,231,Orthopedic,Low,Resident,86,4,29,1
INS-0251,0.58,62,General,High,Intermediate,166,1,17,2
INS-0252,0.63,132,Neuro,Medium,Intermediate,148,0,13,3
INS-0253,0.91,78,General,Low,Expert,27,0,12,3
INS-0254,0.59,52,General,Low,Resident,59,2,21,2
INS-0255,0.5,139,General,Low,Expert,98,0,27,3
INS-0256,0.73,153,Neuro,Low,Resident,159,0,33,4
INS-0257,0.96,172,General,High,Expert,54,3,24,3
INS-0258,0.82,235,General,High,Intermediate,136,1,20,4
INS-0259,0.74,299,Neuro,High,Expert,102,0,33,4
INS-0260,0.46,125,General,High,Intermediate,30,2,20,5
INS-0261,0.77,179,Orthopedic,Medium,Resident,85,4,21,0
INS-0262,0.99,252,Cardiac,Low,Resident,173,0,28,2
INS-0263,0.48,157,General,High,Intermediate,161,0,26,3
INS-0264,0.71,205,Cardiac,Low,Resident,169,4,15,2
INS-0265,0.93,131,General,Medium,Expert,100,3,30,1
INS-0266,0.84,126,General,Low,Intermediate,105,1,17,7
INS-0267,0.82,278,Orthopedic,Low,Resident,105,3,24,4
INS-0268,0.82,263,Neuro,High,Expert,84,2,31,4
INS-0269,0.62,253,Cardiac,High,Expert,119,0,29,1
INS-0270,0.58,51,Neuro,Medium,Resident,91,3,19,4
INS-0271,0.89,176,Orthopedic,Low,Resident,137,1,24,2
INS-0272,0.89,278,Orthopedic,High,Expert,112,2,21,2
INS-0273,0.92,184,Cardiac,High,Intermediate,142,3,20,2
INS-0274,0.95,75,Neuro,High,Resident,153,0,27,2
INS-0275,0.71,267,Orthopedic,Medium,Resident,148,1,33,5
INS-0276,0.7,137,General,Low,Intermediate,44,0,14,4
INS-0277,0.88,253,General,High,Intermediate,121,0,21,3
INS-0278,0.79,65,General,Low,Resident,179,2,33,0
INS-0279,0.82,200,Neuro,Medium,Intermediate,96,1,14,2
INS-0280,0.88,217,General,Low,Expert,128,4,31,3
INS-0281,0.93,237,General,High,Expert,107,0,19,3
INS-0282,0.6,122,Orthopedic,Low,Expert,90,1,23,4
INS-0283,0.63,81,Orthopedic,Low,Resident,147,0,25,2
INS-0284,0.46,64,General,Medium,Intermediate,91,3,14,2
INS-0285,0.75,278,General,Medium,Expert,145,3,20,1
INS-0286,0.42,190,Orthopedic,Low,Intermediate,35,1,28,5
INS-0287,0.68,54,Cardiac,Low,Expert,12,2,17,1
INS-0288,0.73,252,Neuro,Low,Intermediate,68,4,28,1
INS-0289,0.57,123,Neuro,Medium,Expert,125,3,29,3
INS-0290,0.75,101,Orthopedic,Medium,Expert,140,2,31,2
INS-0291,0.42,126,Neuro,Low,Expert,175,4,27,2
INS-0292,0.42,218,Orthopedic,Medium,Expert,139,3,32,1
INS-0293,0.89,230,Orthopedic,High,Expert,154,4,30,3
INS-0294,0.62,159,Orthopedic,Medium,Expert,45,0,21,3
INS-0295,0.48,227,Orthopedic,Medium,Expert,95,1,22,2
INS-0296,0.71,192,Cardiac,Medium,Expert,107,3,30,3
INS-0297,0.86,155,General,High,Expert,133,3,30,1
INS-0298,0.53,297,General,High,Intermediate,82,0,27,4
INS-0299,0.77,176,Cardiac,High,Intermediate,119,3,24,0
INS-0300,0.45,56,Neuro,Low,Resident,131,3,24,2
INS-0301,0.43,89,Neuro,Low,Expert,139,3,21,3
INS-0302,0.72,205,General,High,Intermediate,171,3,18,3
INS-0303,0.72,209,Neuro,Low,Intermediate,36,3,28,4
INS-0304,0.78,148,General,Low,Intermediate,174,2,21,2
INS-0305,0.84,192,General,Low,Intermediate,159,3,32,2
INS-0306,0.99,289,Cardiac,High,Intermediate,77,0,14,5
INS-0307,0.71,277,Neuro,Medium,Intermediate,23,3,30,6
INS-0308,0.59,134,Cardiac,High,Resident,107,4,29,2
INS-0309,0.88,247,General,High,Intermediate,32,4,19,0
INS-0310,0.56,114,General,Low,Resident,124,0,31,0
INS-0311,0.66,181,General,Low,Resident,121,2,16,6
INS-0312,0.45,60,Orthopedic,Medium,Expert,105,0,32,3
INS-0313,0.42,157,Orthopedic,Medium,Expert,87,2,20,1
INS-0314,0.98,75,Orthopedic,Medium,Expert,70,1,17,3
INS-0315,0.9,238,Cardiac,Medium,Intermediate,94,4,30,4
INS-0316,0.82,214,General,High,Expert,80,4,16,3
INS-0317,0.65,200,Neuro,Medium,Intermediate,94,4,25,5
INS-0318,0.5,270,Cardiac,High,Intermediate,59,2,25,2
INS-0319,0.49,134,Cardiac,Low,Expert,149,0,23,3
INS-0320,0.55,289,Cardiac,Medium,Expert,24,2,24,0
INS-0321,0.73,286,Neuro,Low,Resident,154,4,29,2
INS-0322,0.83,286,General,Low,Resident,43,4,18,1
INS-0323,0.8,290,Orthopedic,High,Intermediate,44,4,25,1
INS-0324,0.57,268,General,Medium,Intermediate,48,4,25,4
INS-0325,0.97,280,General,High,Expert,142,1,14,3
INS-0326,0.84,217,Cardiac,Low,Expert,39,4,12,2
INS-0327,0.73,254,Cardiac,Medium,Resident,141,2,30,3
INS-0328,0.77,200,Cardiac,Low,Expert,152,4,34,1
INS-0329,0.65,172,Orthopedic,Low,Intermediate,112,3,22,4
INS-0330,0.55,193,Orthopedic,Medium,Expert,172,1,17,4
INS-0331,0.61,271,Orthopedic,Medium,Resident,83,4,26,3
INS-0332,0.85,238,General,Medium,Intermediate,64,3,14,4
INS-0333,0.41,117,Cardiac,High,Resident,69,2,15,1
INS-0334,0.47,153,Neuro,High,Resident,33,1,11,4
INS-0335,0.43,129,General,Low,Intermediate,31,4,31,1
INS-0336,0.42,208,Orthopedic,Medium,Resident,41,2,23,1
INS-0337,0.91,102,Neuro,Low,Expert,104,3,34,3
INS-0338,0.82,155,Neuro,Low,Expert,92,1,13,3
INS-0339,0.68,202,Cardiac,Low,Resident,12,4,12,2
INS-0340,0.46,93,Neuro,Low,Expert,79,2,18,2
INS-0341,0.69,189,Orthopedic,Low,Resident,169,1,27,2
INS-0342,0.68,139,Cardiac,Medium,Expert,139,3,21,6
INS-0343,0.5,150,Neuro,High,Resident,97,4,18,1
INS-0344,0.66,289,Cardiac,Medium,Expert,118,1,27,2
INS-0345,0.64,146,Neuro,Medium,Intermediate,68,3,22,1
INS-0346,0.77,269,General,Medium,Intermediate,86,3,23,2
INS-0347,0.78,58,General,High,Expert,23,2,19,3
INS-0348,0.43,61,Orthopedic,High,Resident,60,3,12,4
INS-0349,0.62,118,General,High,Expert,148,3,16,1
INS-0350,0.78,231,General,Medium,Resident,87,0,27,1
INS-0351,0.7,293,General,High,Expert,89,3,25,2
INS-0352,0.91,231,Neuro,Low,Expert,19,4,26,4
INS-0353,0.8,77,Neuro,High,Intermediate,89,1,34,3
INS-0354,0.5,105,Cardiac,Medium,Resident,133,4,15,1
INS-0355,0.44,148,Neuro,Medium,Resident,43,4,34,2
INS-0356,0.79,246,General,Low,Resident,130,2,21,2
INS-0357,0.42,275,Neuro,High,Resident,89,0,28,7
INS-0358,0.75,159,Orthopedic,High,Resident,62,0,12,3
INS-0359,0.96,275,Cardiac,Low,Intermediate,165,4,12,2
INS-0360,0.75,126,Cardiac,Medium,Expert,27,1,27,1
INS-0361,0.63,152,Neuro,Medium,Resident,163,0,20,8
INS-0362,0.79,155,General,High,Resident,111,0,15,4
INS-0363,0.67,158,Cardiac,High,Expert,144,4,28,1
INS-0364,0.73,161,Orthopedic,High,Intermediate,107,0,14,2
INS-0365,0.96,107,Orthopedic,High,Intermediate,54,2,22,2
INS-0366,0.63,127,Cardiac,High,Intermediate,44,4,14,2
INS-0367,0.98,124,General,Medium,Expert,123,0,12,2
INS-0368,0.94,91,General,Medium,Expert,30,0,28,2
INS-0369,0.52,215,Neuro,Medium,Intermediate,165,0,26,1
INS-0370,0.44,117,Neuro,Medium,Intermediate,105,4,31,0
INS-0371,0.46,230,Cardiac,Low,Expert,53,1,12,4
INS-0372,0.41,82,Neuro,Medium,Intermediate,89,3,24,2
INS-0373,0.46,120,Neuro,Low,Resident,65,0,26,4
INS-0374,0.81,105,Neuro,Medium,Expert,147,3,22,3
INS-0375,0.44,154,Orthopedic,High,Intermediate,160,3,23,4
INS-0376,0.59,249,Neuro,High,Resident,152,0,25,3
INS-0377,0.91,150,Cardiac,High,Expert,64,0,34,4
INS-0378,0.41,100,General,Low,Expert,52,3,20,3
INS-0379,0.89,123,Neuro,Medium,Resident,59,1,26,2
INS-0380,0.57,220,General,Medium,Expert,15,3,14,1
INS-0381,0.47,170,Neuro,Low,Intermediate,170,1,30,3
INS-0382,0.82,192,Cardiac,Low,Expert,71,2,24,4
INS-0383,0.78,215,Orthopedic,Low,Intermediate,64,1,27,1
INS-0384,0.93,192,Cardiac,Low,Resident,176,4,25,0
INS-0385,0.84,54,Orthopedic,Low,Resident,149,0,23,3
INS-0386,0.88,270,Neuro,High,Expert,125,2,23,2
INS-0387,0.57,132,Neuro,Medium,Resident,40,3,22,1
INS-0388,0.51,231,Orthopedic,Low,Resident,83,1,10,5
INS-0389,0.85,100,Cardiac,High,Expert,43,2,15,5
INS-0390,0.88,59,Cardiac,Low,Intermediate,178,4,32,2
INS-0391,0.99,189,Orthopedic,High,Expert,19,1,20,2
INS-0392,0.65,295,Neuro,Low,Expert,61,3,20,3
INS-0393,0.62,53,Orthopedic,Medium,Intermediate,87,3,34,4
INS-0394,0.87,144,Neuro,Low,Intermediate,12,1,25,3
INS-0395,0.6,195,Orthopedic,Low,Intermediate,170,4,33,1
INS-0396,0.96,129,Neuro,Medium,Expert,144,0,12,2
INS-0397,0.92,281,Orthopedic,Medium,Intermediate,13,0,34,4
INS-0398,0.66,85,General,Low,Resident,176,3,26,6
INS-0399,0.85,74,Neuro,Medium,Intermediate,57,4,31,0
INS-0400,0.85,264,Cardiac,Medium,Resident,83,3,23,1
INS-0401,0.46,253,Orthopedic,High,Intermediate,88,0,11,4
INS-0402,0.94,147,Cardiac,Medium,Resident,153,3,34,5
INS-0403,0.7,213,Orthopedic,Medium,Resident,175,1,18,3
INS-0404,0.9,150,Cardiac,Low,Resident,13,1,17,5
INS-0405,0.59,244,Cardiac,Low,Resident,13,4,20,6
INS-0406,0.94,58,Orthopedic,High,Resident,129,0,16,6
INS-0407,0.63,110,Orthopedic,Low,Intermediate,128,4,31,2
INS-0408,0.41,102,Cardiac,Medium,Expert,164,4,11,1
INS-0409,0.94,195,Cardiac,Medium,Expert,26,0,13,4
INS-0410,0.45,220,Cardiac,Medium,Expert,105,2,32,2
INS-0411,0.59,212,Neuro,Low,Expert,79,2,23,2
INS-0412,0.97,112,Neuro,Medium,Expert,106,3,22,2
INS-0413,0.97,170,General,Medium,Resident,17,2,31,3
INS-0414,0.74,296,Neuro,High,Intermediate,123,1,34,1
INS-0415,0.78,275,Neuro,High,Resident,14,4,22,3
INS-0416,0.67,154,Orthopedic,High,Intermediate,56,3,22,4
INS-0417,0.58,255,General,Low,Intermediate,49,4,14,1
INS-0418,0.6,53,General,Medium,Intermediate,131,0,21,1
INS-0419,0.8,142,Neuro,Medium,Intermediate,144,2,15,2
INS-0420,0.85,218,Orthopedic,Medium,Expert,149,0,31,6
INS-0421,0.87,222,Orthopedic,High,Intermediate,103,3,23,0
